"319";"locationApiary";"Standortdaten des Bienenstands, die zum Abrufen der Wetterinformationen während der Durchsichten verwendet werden. Geben Sie den Namen der nächsten Stadt, den Breiten- und Längengrad des Bienenstands ein oder markieren Sie den Standort auf der Karte.";"Datos de ubicacion del colmenar utilizados para obtener informacion meteorologica durante las inspecciones. Introduce el nombre de la ciudad mas cercana, la latitud y longitud del colmenar o indica la ubicacion del colmenar en el mapa.";"Données de localisation du rucher utilisées pour récupérer les informations météorologiques lors des inspections. Entrez le nom de la ville la plus proche, la latitude et la longitude du rucher ou indiquez l'emplacement du rucher sur la carte.";"Dati sulla posizione dell'apiario utilizzati per ottenere informazioni meteo durante le ispezioni. Inserisci il nome della città più vicina, latitudine e longitudine dell'apiario oppure indica la posizione dell'apiario sulla mappa.";"Dados de localização do apiário utilizados para obter informações meteorológicas durante as inspeções. Introduza o nome da cidade mais próxima, a latitude e longitude do apiário ou indique a localização do apiário no mapa.";"Dane o lokalizacji pasieki wykorzystywane do pobierania informacji o pogodzie podczas przeglądów. Wpisz nazwę najbliższego miasta, szerokość i długość geograficzną pasieki lub wskaż lokalizacje pasieki na mapie.";"Apiary location data used to retrieve weather information during inspection. Enter the name of the nearest city, latitude and longitude of the apiary or indicate the location of the apiary on the map."
"320";"apiaryAdition";"Bienenstand bearbeiten";"Edicion del colmenar";"Édition du rucher";"Modifica apiario";"Edição do apiário";"Edycja pasieki";"Apiary edition"
"321";"editingInfo";"Information bearbeiten";"Edicion de informacion";"Édition de l'information";"Modifica informazioni";"Edição de informações";"Edycja informacji";"Editing information"
"322";"addInfo";"Information hinzufügen";"Agregar informacion";"Ajout d'information";"Aggiunta informazioni";"Adicionar informações";"Dodawanie informacji";"Adding information"
"323";"pArametr";"Merkmal";"Caracteristica";"Caractéristique";"Parametro";"Característica";"Cecha";"Feature"
"324";"vAlue";"Wert";"Valor";"Valeur";"Valore";"Valor";"Wartość";"Value"
"325";"mEasure";"Maßeinheit";"Medida";"Mesure";"Misura";"Medida";"Miara";"Measure"
"326";"honeyOnSmallFrame";"Gewicht des Honigs auf einem kleinen Rahmen (aus der Halbzarge). Dies sollte ein Durchschnittswert aus vielen Rahmen sein. Dieser Wert dient zur Berechnung der ungefähren Honigmenge pro Beute.";"El peso de la miel que se encuentra en un cuadro pequeno (de media alza). Debe ser el valor promedio de varios cuadros. Este valor se utiliza para calcular la cantidad aproximada de miel cosechada por cada colmena.";"Le poids du miel qui se trouve sur un petit cadre (de la demi-hausse). Ce devrait être la valeur moyenne de plusieurs cadres. Cette valeur sert à calculer la quantité approximative de miel récolté pour chaque ruche.";"Il peso del miele che si trova su un telaino piccolo (dal mezzo melario). Dovrebbe essere il valore medio di più telai. Questo valore viene utilizzato per calcolare la quantità approssimativa di miele raccolto per ogni arnia.";"Peso do mel que se encontra num quadro pequeno (de meia-alça). Deve ser o valor médio de vários quadros. Este valor é utilizado para calcular a quantidade aproximada de mel colhido em cada colmeia.";"Waga miodu, który znajduje się na jednej małej ramce (z półkorpusu). Powinna to być wartość średnia z wielu ramek. Wartość ta służy do obliczenia przybliżonej ilości pozyskanego miodu dla każdego ula.";"The weight of the honey, which is located on one small frame (from a half-body). This should be the average of multiple frames. This value is used to calculate the approximate amount of honey harvested for each hive."
"327";"honeyOnBigFrame";"Gewicht des Honigs auf einem großen Rahmen (aus der Zarge). Dies sollte ein Durchschnittswert aus vielen Rahmen sein. Dieser Wert dient zur Berechnung der ungefähren Honigmenge pro Beute.";"El peso de la miel que se encuentra en un cuadro grande (de alza). Debe ser el valor promedio de varios cuadros. Este valor se utiliza para calcular la cantidad aproximada de miel cosechada por cada colmena.";"Le poids du miel qui se trouve sur un grand cadre (de la hausse). Ce devrait être la valeur moyenne de plusieurs cadres. Cette valeur sert à calculer la quantité approximative de miel récolté pour chaque ruche.";"Il peso del miele che si trova su un telaino grande (dal melario). Dovrebbe essere il valore medio di più telai. Questo valore viene utilizzato per calcolare la quantità approssimativa di miele raccolto per ogni arnia.";"Peso do mel que se encontra num quadro grande (de alça). Deve ser o valor médio de vários quadros. Este valor é utilizado para calcular a quantidade aproximada de mel colhido em cada colmeia.";"Waga miodu, który znajduje się na jednej dużej ramce (z korpusu). Powinna to być wartość średnia z wielu ramek. Wartość ta służy do obliczenia przybliżonej ilości pozyskanego miodu dla każdego ula.";"The weight of the honey, which is located on one big frame (from a body). This should be the average of multiple frames. This value is used to calculate the approximate amount of honey harvested for each hive."
"328";"beePollenPortion";"Fassungsvermögen des Messbechers für die Pollenernte. Dieser Wert dient zur Berechnung der ungefähren Pollenmenge pro Beute.";"La capacidad del recipiente de medicion utilizado para medir el polen recolectado. Este valor se utiliza para calcular la cantidad aproximada de polen recolectado por cada colmena.";"La capacité de la mesure utilisée pour mesurer le pollen récolté. Cette valeur sert à calculer la quantité approximative de pollen récolté pour chaque ruche.";"La capacità del misurino utilizzato per dosare il polline raccolto. Questo valore viene utilizzato per calcolare la quantità approssimativa di polline raccolto per ogni arnia.";"Capacidade da medida utilizada para medir o pólen recolhido. Este valor é utilizado para calcular a quantidade aproximada de pólen recolhido em cada colmeia.";"Pojemność miarki, która jest używana do odmierzania pozyskiwanego pyłku. Wartość ta służy do obliczenia przybliżonej ilości pozyskanego pyłku dla każdego ula.";"The capacity of the measuring cup that is used to measure the collected pollen. This value is used to calculate the approximate amount of pollen collected for each hive."
"329";"weightSmallFrame";"Durchschnittliches Honiggewicht  auf kleinem Rahmen";"Peso promedio de miel  en cuadro pequeno";"Poids moyen du miel  sur un petit cadre";"Peso medio del miele  sul telaino piccolo";"Peso médio do mel  num quadro pequeno";"Średnia waga miodu  na małej ramce";"Average honey weight  on small frame"
"330";"weightBigFrame";"Durchschnittliches Honiggewicht  auf großem Rahmen";"Peso promedio de miel  en cuadro grande";"Poids moyen du miel  sur un grand cadre";"Peso medio del miele  sul telaino grande";"Peso médio do mel  num quadro grande";"Średnia waga miodu  na dużej ramce";"Average honey weight  on big frame"
"331";"weightDmFrame";"Durchschnittliches Honiggewicht  pro 1 dm² Rahmen";"Peso promedio de miel  en 1 dm2 de cuadro";"Poids moyen du miel  sur 1 dm² de cadre";"Peso medio del miele  su 1 dm² di telaino";"Peso médio do mel  em 1 dm² de quadro";"Średnia waga miodu  na 1 dm² ramki";"Average honey weight  on 1 dm² frame"
"332";"weightPortion";"Pollenvolumen im Messbecher";"Capacidad de polen en el medidor";"Capacité de pollen dans la mesure";"Capacità polline nel misurino";"Capacidade de pólen na medida";"Pojemność pyłku w miarce";"Bee pollen capacity in a measuring cup"
"333";"paramEdition";"Parameter bearbeiten";"Edicion de parametro";"Édition du paramètre";"Modifica parametro";"Edição de parâmetro";"Edycja parametru";"Parameter edition"
"334";"rem";"einsetzen/einfügen/entfernen/wegnehmen";"colocar/insertar/retirar/quitar";"poser/insérer/retirer/enlever";"metti/inserisci/rimuovi/togli";"colocar/inserir/remover/retirar";"załóż/wstaw/usuń/zabierz";"put on/insert/remove/delete"
"335";"value";"Wert";"valor";"valeur";"valore";"valor";"wartość";"value"
"336";"food";"Futter";"alimento";"nourriture";"cibo";"alimento";"pokarm";"food"
"337";"noSubscryption";"kein Abonnement";"sin suscripcion";"pas d'abonnement";"nessun abbonamento";"sem subscrição";"brak subskrypcji";"no subscryption"
"338";"nOData";"Keine Daten";"Sin datos";"Pas de données";"Nessun dato";"Sem dados";"Brak danych";"No data"
"339";"sAle";"Verkauf";"Ventas";"Ventes";"Vendita";"Vendas";"Sprzedaż";"Sale"
"340";"noSaleYet";"Es gibt noch keine Verkäufe.";"Aun no hay ventas.";"Il n'y a pas encore de ventes.";"Non ci sono ancora vendite.";"Ainda não existem vendas.";"Nie ma jeszcze żadnych sprzedaży.";"There are no sales yet."
"341";"saleDate";"Verkaufsdatum";"Fecha de venta";"Date de vente";"Data vendita";"Data da venda";"Data sprzedaży";"Sale date"
"342";"nAme";"Name";"Nombre";"Nom";"Nome";"Nome";"Nazwa";"Name"
"343";"pRice";"Preis";"Precio";"Prix";"Prezzo";"Preço";"Cena";"Price"
"344";"editingSale";"Verkauf bearbeiten";"Edicion de venta";"Édition de la vente";"Modifica vendita";"Edição da venda";"Edycja sprzedaży";"Editing sale"
"345";"addSale";"Verkauf hinzufügen";"Agregar venta";"Ajout d'une vente";"Aggiunta vendita";"Adicionar venda";"Dodawanie sprzedaży";"Adding sale"
"346";"pRoduct";"Produkt";"Producto";"Produit";"Prodotto";"Produto";"Produkt";"Product"
"347";"otherSales";"sonstiger Verkauf";"otra venta";"autres ventes";"altre vendite";"outras vendas";"sprzedaż inna";"other sales"
"348";"deleteAllData";"Alle Daten löschen";"Borrar todos los datos";"Suppression de toutes les données";"Cancellazione di tutti i dati";"Apagar todos os dados";"Kasowanie wszystkich danych";"Erasing all data"
"349";"deleteRamkaInfo";"Alle Daten werden gelöscht! Diese Entscheidung ist endgültig und kann nicht rückgängig gemacht werden. Wenn nicht alle Daten in die Cloud exportiert wurden, gehen sie unwiderruflich verloren!";"Se eliminaran todos los datos! Esta decision es definitiva y no se puede deshacer. Si no se ha realizado una exportacion de todos los datos a la nube, los perderas sin posibilidad de recuperacion!";"Toutes les données seront supprimées ! Cette décision est définitive et irréversible. Si l'exportation de toutes les données vers le cloud n'a pas été effectuée, vous les perdrez sans possibilité de récupération !";"Tutti i dati saranno eliminati! Questa decisione è definitiva e non potrà essere annullata. Se non è stata eseguita l'esportazione di tutti i dati nel cloud, li perderai senza possibilità di recupero!";"Todos os dados serão eliminados! Esta decisão é definitiva e não pode ser revertida. Se não exportou todos os dados para a nuvem - vai perdê-los sem possibilidade de recuperação!";"Usunięte zostaną wszystkie dane! Ta decyzja jest ostateczna i nie będzie można jej cofnąć. Jeżeli nie został wykonany eksport wszystkich danych do chmury - stracisz je bez możliwości odzyskania!";"All data will be deleted! This decision is final and cannot be reversed. If all data has not been exported to the cloud, you will lose it and cannot recover it!"
"350";"aboutHiveApiary";"über Durchsichten, Beuten und Bienenstände";"sobre inspecciones, colmenas y colmenares";"sur les inspections, les ruches et les ruchers";"su ispezioni, arnie e apiari";"sobre inspeções, colmeias e apiários";"o przelądach, ulach i pasiekach";"about inspections, beehives and apiaries"
"351";"harvestDataSend";"Erntedaten wurden gesendet";"Los datos de cosechas han sido enviados";"Les données de récolte ont été envoyées";"I dati dei raccolti sono stati inviati";"Os dados de colheitas foram enviados";"Dane o zbiorach zostały wysłane";"Harvest data has been sent"
"352";"saleDataSend";"Verkaufsdaten wurden gesendet";"Los datos de ventas han sido enviados";"Les données de vente ont été envoyées";"I dati delle vendite sono stati inviati";"Os dados de vendas foram enviados";"Dane o sprzedaży zostały wysłane";"Sales data has been sent"
"353";"queenDataSend";"Königinnendaten wurden gesendet";"Los datos de reinas han sido enviados";"Les données des reines ont été envoyées";"I dati delle regine sono stati inviati";"Os dados de rainhas foram enviados";"Dane o matkach zostały wysłane";"Queens data has been sent"
"354";"purchaseDataSend";"Einkaufsdaten wurden gesendet";"Los datos de compras han sido enviados";"Les données d'achat ont été envoyées";"I dati degli acquisti sono stati inviati";"Os dados de compras foram enviados";"Dane o zakupach zostały wysłane";"Purchase data has been sent"
"355";"noteDataSend";"Notizen wurden gesendet";"Las notas han sido enviadas";"Les notes ont été envoyées";"Le note sono state inviate";"As notas foram enviadas";"Notatki zostały wysłane";"The notes have been sent"
"356";"editingPurchase";"Einkauf bearbeiten";"Edicion de compra";"Édition de l'achat";"Modifica acquisto";"Edição da compra";"Edycja zakupu";"Editing purchase"
"357";"addPurchase";"Einkauf hinzufügen";"Agregar compra";"Ajout d'un achat";"Aggiunta acquisto";"Adicionar compra";"Dodawanie zakupu";"Adding purchase"
"358";"cAtegory";"Kategorie";"Categoria";"Catégorie";"Categoria";"Categoria";"Kategoria";"Category"
"359";"medicines";"Medikamente";"medicamentos";"médicaments";"farmaci";"medicamentos";"leki";"medicines"
"360";"lack";"fehlt";"sin";"manque";"mancante";"sem";"brak";"lack"
"361";"packaging";"Verpackungen";"envases";"emballages";"imballaggi";"embalagens";"opakowania";"packaging"
"362";"noPurchaseYet";"Es gibt noch keine Einkäufe.";"Aun no hay compras.";"Il n'y a pas encore d'achats.";"Non ci sono ancora acquisti.";"Ainda não existem compras.";"Nie ma jeszcze żadnych zakupów.";"No purchases yet."
"363";"noCaregory";"ohne Kategorie";"sin categoria";"sans catégorie";"senza categoria";"sem categoria";"bez kategorii";"no category"
"364";"pUrchase";"Einkäufe";"Compras";"Achats";"Acquisti";"Compras";"Zakupy";"Purchase"
"365";"bees";"Bienen";"abejas";"abeilles";"api";"abelhas";"pszczoły";"bees"
"366";"queens";"Königinnen";"reinas";"reines";"regine";"rainhas";"matki";"queens"
"367";"tOTAL";"GESAMT";"TOTAL";"TOTAL";"TOTALE";"TOTAL";"RAZEM";"TOTAL"
"368";"nOtes";"Notizen";"Notas";"Notes";"Note";"Notas";"Notatki";"Notes"
"369";"noNoteYet";"Es gibt noch keine Notizen.";"Aun no hay notas.";"Il n'y a pas encore de notes.";"Non ci sono ancora note.";"Ainda não existem notas.";"Nie ma jeszcze żadnych notatek.";"There are no notes yet."
"370";"editingNote";"Notiz bearbeiten";"Edicion de nota";"Édition de la note";"Modifica nota";"Edição da nota";"Edycja notatki";"Editing note"
"371";"addNote";"Notiz hinzufügen";"Agregar nota";"Ajouter une note";"Aggiungi nota";"Adicionar nota";"Dodaj notatkę";"Adding note"
"372";"tItle";"Titel";"Titulo";"Titre";"Titolo";"Título";"Tytuł";"Title"
"373";"nOte";"Notiz";"Nota";"Note";"Nota";"Nota";"Notatka";"Note"
"374";"noteDate";"Notizdatum";"Fecha de nota";"Date de la note";"Data nota";"Data da nota";"Data notatki";"Note date"
"375";"eXportData";"Datenexport in die Cloud";"Exportar datos a la nube";"Exportation des données vers le cloud";"Esportazione dati nel cloud";"Exportar dados para a nuvem";"Eksport danych do chmury";"Data export to the cloud"
"376";"editingFrame";"Rahmeninfo bearbeiten";"Edicion de info de cuadros";"Édition des info sur les cadres";"Modifica info telai";"Edição de informações do quadro";"Edytowanie info o ramkach";"Editing frame info"
"377";"addFrame";"Rahmeninfo hinzufügen";"Agregar info de cuadros";"Ajout des info sur les cadres";"Aggiunta info telai";"Adicionar informações do quadro";"Dodawanie info o ramkach";"Adding frame info"
"378";"introA";"  Um einen Bienenstand und einzelne Beuten anzulegen, verwenden Sie das ""+""-Symbol oben.   Informationen über die App auf heymaya.eu sind über das ""?""-Symbol oben verfügbar.";"  Para crear un colmenar y colmenas individuales, usa el icono ""+"" de arriba.   La informacion sobre la aplicacion en la pagina heymaya.eu esta disponible al seleccionar el icono ""?"" de arriba.";"  Pour créer un rucher et des ruches individuelles, utilisez l'icône ""+"" ci-dessus.   Les informations sur l'application sur le site heymaya.eu sont disponibles en sélectionnant l'icône ""?"" ci-dessus.";"  Per creare un apiario e le singole arnie, usa l'icona ""+"" sopra.   Le informazioni sull'applicazione sul sito heymaya.eu sono disponibili selezionando l'icona ""?"" sopra.";"  Para criar um apiário e as colmeias individuais, utilize o ícone ""+"" acima.   Informações sobre a aplicação no site heymaya.eu estão disponíveis ao selecionar o ícone ""?"" acima.";"  Aby utworzyć pasiekę i poszczególne ule należy użyć ikony ""+"" powyżej.   Informacje o aplikacji na stronie heymaya.eu są dostępne po wybraniu ikony ""?"" powyżej.";"  To create an apiary and individual hives, use the ""+"" icon above.   Information about the application on the website heymaya.eu is available after selecting the ""?"" icon above."
"379";"introB";"  Beispiel: 1. Wählen Sie ""SPRACHSTEUERUNG"" und dann ""START"". 2. Sagen Sie ""Hey Maya"" (das ist das Aktivierungswort, das jedem Sprachbefehl vorangestellt werden muss). 3. Sagen Sie ""Einstellen Bienenstand Nummer eins"". 4. Sagen Sie ""Einstellen Beute Nummer eins"". 5. Sagen Sie ""Einstellen Zarge Nummer eins"". 6. Sagen Sie ""Einstellen Rahmen Nummer eins"". 7. Sagen Sie ""Einstellen Stifte, zwanzig Prozent, von links"".";"  Ejemplo: 1. Selecciona ""CONTROL DE VOZ"" y luego selecciona ""INICIO"". 2. Di ""Hey Maya"" (esta es la palabra de activacion que debe preceder cada comando de voz). 3. Di ""Establecer colmenar numero uno"". 4. Di ""Establecer colmena numero uno"". 5. Di ""Establecer alza numero uno"". 6. Di ""Establecer cuadro numero uno"". 7. Di ""Establecer huevos, veinte por ciento, en el lado izquierdo"".";"  Exemple : 1. Sélectionnez ""COMMANDE VOCALE"" puis sélectionnez ""START"". 2. Dites ""Hey Maya"" (c'est le mot de réveil qui doit précéder chaque commande vocale). 3. Dites ""Définir rucher numéro un"". 4. Dites ""Définir ruche numéro un"". 5. Dites ""Définir hausse numéro un"". 6. Dites ""Définir cadre numéro un"". 7. Dites ""Définir œufs, vingt pour cent, côté gauche"".";"  Esempio: 1. Seleziona ""CONTROLLO VOCALE"" e poi seleziona ""START"". 2. Dì ""Hey Maya"" (questa è la parola di attivazione che deve precedere ogni comando vocale). 3. Dì ""Imposta apiario numero uno"". 4. Dì ""Imposta arnia numero uno"". 5. Dì ""Imposta melario numero uno"". 6. Dì ""Imposta telaino numero uno"". 7. Dì ""Imposta uova, venti per cento, sul lato sinistro"".";"  Exemplo: 1. Selecione ""CONTROLO POR VOZ"" e depois selecione ""START"". 2. Diga ""Hey Maya"" (esta é a palavra de ativação que deve preceder cada comando de voz). 3. Diga ""Definir apiário número um"". 4. Diga ""Definir colmeia número um"". 5. Diga ""Definir alça número um"". 6. Diga ""Definir quadro número um"". 7. Diga ""Definir ovos, vinte por cento, do lado esquerdo"".";"  Przykład: 1. Wybierz ""STEROWANIE GŁOSEM"" i następnie wybierz ""START"". 2. Powiedz ""Hej Maja"" (jest to słowo wybudzenia, którym należy poprzedzić każdą komendę głosową). 3. Powiedz ""Ustaw pasieka numer jeden"". 4. Powiedz ""Ustaw ul numer jeden"". 5. Powiedz ""Ustaw korpus numer jeden"". 6. Powiedz ""Ustaw ramka numer jeden"". 7. Powiedz ""Ustaw jajka, dwadzieścia procent, z lewej strony"".";"  Example: 1. Select ""VOICE CONTROL"" and then select ""START"". 2. Say ""Hey Maya"" (this is the wake-up word that should precede each voice command). 3. Say ""Set apiary number one."" 4. Say ""Set hive number one."" 5. Say ""Set body number one."" 6. Say ""Set frame number one."" 7. Say ""Set eggs, twenty percent, on the left side""."
"380";"introC";"  Es wird ein Bienenstand Nr. 1 mit einer Beute Nr. 1 erstellt, bestehend aus einer Zarge mit einem Rahmen mit Stiften, die 20% der Rahmenfläche auf der linken Seite einnehmen. Sie können die Durchsicht fortsetzen oder mit der Taste ""STOP"" beenden.";"  Se creara el colmenar n.o 1 con la colmena n.o 1, compuesta por un alza en la que hay un cuadro con huevos que ocupan el 20% de la superficie del cuadro en el lado izquierdo. Puedes continuar la inspeccion o finalizarla seleccionando el boton ""PARAR"".";"  Le rucher n° 1 sera créé avec la ruche n° 1, composée d'une hausse contenant un cadre avec des œufs occupant 20% de la surface du cadre côté gauche. Vous pouvez continuer l'inspection ou la terminer en sélectionnant le bouton ""STOP"".";"  Verrà creato l'apiario n. 1 con l'arnia n. 1, composta da un melario in cui si trova un telaino con uova, che occupano il 20% della superficie del telaino sul lato sinistro. Puoi continuare l'ispezione o terminarla selezionando il pulsante ""STOP"".";"  Será criado o apiário n.º 1 com a colmeia n.º 1, composta por uma alça, na qual se encontra um quadro com ovos, ocupando 20% da superfície do quadro do lado esquerdo. Pode continuar a inspeção ou terminá-la selecionando o botão ""STOP"".";"  Zostanie utworzona pasieka nr 1 posiadająca  ul nr 1, składający się z jednego korpusu, w którym znajduje się jedna ramka z jajkami, zajmującymi 20% powierzchni ramki z lewej strony. Można dalej kontynuować przegląd lub zakończyć go wybierając przycisk ""STOP"".";"  Apiary no. 1 will be created with hive no. 1, consisting of one body in which there is one frame with eggs, occupying 20% of the frame area on the left side. You can continue the inspection or end it by selecting ""STOP"" button."
"381";"milliliter";"Milliliter";"mililitros";"millilitres";"millilitri";"mililitros";"mililitrów";"milliliter"
"382";"resourceLocationSay";"Ressourcenposition - sagen Sie z.B.:";"Ubicacion del recurso - di p.ej.:";"Emplacement de la ressource - dites par ex. :";"Posizione della risorsa - dì ad es.:";"Localização do recurso - diga p. ex.:";"Lokacja zasobu - powiedz np.:";"Resource location - say e.g.:"
"383";"lOcation";"Position";"Ubicacion";"Emplacement";"Posizione";"Localização";"Lokacja";"Location"
"384";"acid";"Säure";"acido";"acide";"acido";"ácido";"kwas";"acid"
"385";"acidG";"Säure";"acido";"acide";"acido";"ácido";"kwas";"acid"
"386";"aCid";"Säure";"Acido";"Acide";"Acido";"Ácido";"Kwas";"Acid"
"387";"deadBees";"Totenfall";"mortandad de abejas";"mortalité des abeilles";"mortalità delle api";"mortalidade de abelhas";"osyp pszczół";"dead bees"
"388";"dEadBees";"Totenfall";"Mortandad de abejas";"Mortalité des abeilles";"Mortalità delle api";"Mortalidade de abelhas";"Osyp pszczół";"Dead bees"
"389";"veryGood";"sehr gut";"muy buena";"très bonne";"ottima";"muito boa";"bardzo dobra";"very good"
"390";"good";"gut";"buena";"bonne";"buona";"boa";"dobra";"good"
"391";"canceled";"schlecht";"mala";"mauvaise";"cattiva";"má";"zła";"canceled"
"392";"exchange";"alt";"vieja";"vieille";"vecchia";"velha";"stara";"to exchange"
"393";"unmarked";"kein Zeichen";"sin marca";"non marquée";"non ha segno";"sem marcação";"nie ma znak";"unmarked"
"394";"unmarked1";"unmarkiert";"sin marcar";"non marquée";"non marcata";"não marcada";"nieoznakowana";"unmarked"
"395";"markedBlue";"blaues Zeichen";"marca azul";"marquée bleu";"ha segno blu";"marcação azul";"ma niebieski znak";"marked blue"
"396";"markedGreen";"grünes Zeichen";"marca verde";"marquée vert";"ha segno verde";"marcação verde";"ma zielony znak";"marked green"
"397";"markedRed";"rotes Zeichen";"marca roja";"marquée rouge";"ha segno rosso";"marcação vermelha";"ma czerwony znak";"marked red"
"398";"markedYellow";"gelbes Zeichen";"marca amarilla";"marquée jaune";"ha segno giallo";"marcação amarela";"ma żółty znak";"marked yellow"
"399";"markedWhite";"weißes Zeichen";"marca blanca";"marquée blanc";"ha segno bianco";"marcação branca";"ma biały znak";"marked white"
"400";"markedOther";"anderes Zeichen";"otra marca";"marquée autre";"ha altro segno";"outra marcação";"ma inny znak";"marked other"
"401";"missing";"fehlt";"ausente";"manquante";"assente";"ausente";"brak";"missing"
"402";"missing1";"Königin fehlt";"reina ausente";"reine manquante";"regina assente";"rainha ausente";"brak matki";"missing"
"403";"gone";"nicht vorhanden";"no hay";"absente";"non c'è";"desapareceu";"nie ma";"gone"
"404";"gone1";"Königin nicht vorhanden";"no hay reina";"reine absente";"regina non c'è";"rainha desapareceu";"nie ma matki";"gone"
"405";"droneLaying";"drohnenbrütig";"zanganera";"pondeuse de mâles";"fucaiola";"zanganeira";"trutówka";"drone laying"
"406";"virgine";"unbegattet";"virgen";"vierge";"vergine";"virgem";"dziewica";"virgine"
"407";"virgine1";"unbegattet";"no fecundada";"non fécondée";"non fecondata";"não fecundada";"nieunasiennona";"unfertilized"
"408";"artificiallyInseminated";"künstlich";"artificial";"inséminée";"inseminata artificialmente";"inseminada artificialmente";"sztuczna";"artificially inseminated"
"409";"artificiallyInseminated1";"instrumentell besamt";"inseminada";"inséminée artificiellement";"inseminata";"inseminada";"inseminowana";"artificially inseminated"
"410";"naturallyMated";"natürlich";"natural";"naturelle";"fecondata naturalmente";"fecundada naturalmente";"naturalna";"naturally mated"
"411";"naturallyMated1";"natürlich begattet";"fec. naturalmente";"féc. naturellement";"fecond. naturalmente";"fec. naturalmente";"un. naturalnie";"naturally mated"
"412";"freed";"frei";"libre";"libre";"libera";"livre";"wolna";"freed"
"413";"inCage";"im Käfig";"en jaula";"en cage";"in gabbietta";"na gaiola";"w klateczce";"in a cage"
"414";"inInsulator";"im Isolator";"en aislador";"en isoloir";"nell'isolatore";"no isolador";"w izolatorze";"in the insulator"
"415";"isolated";"isoliert";"aislada";"isolée";"isolata";"isolada";"izolowana";"isolated"
"416";"gentle";"sanft";"mansa";"douce";"docile";"calma";"łagodna";"gentle"
"417";"aggressive";"aggressiv";"mala";"agressive";"aggressiva";"agressiva";"zła";"aggressive"
"418";"aggressive1";"aggressiv";"agresiva";"agressive";"aggressiva";"agressiva";"agresywna";"aggressive"
"419";"swarmingMood";"in Schwarmstimmung";"en modo de enjambrazion";"tendance à l'essaimage";"in sciamatura";"tendência à enxameação";"w nastroju do ucieczki";"swarming mood"
"420";"inCluster";"in der Traube";"en racimo";"en grappe";"in glomere";"em cacho";"w kłębie";"in a cluster"
"421";"dead";"tot";"muerta";"morte";"morta";"morta";"nie żyje";"dead"
"422";"veryStrong";"sehr stark";"muy fuerte";"très forte";"molto forte";"muito forte";"bardzo silna";"very strong"
"423";"strong";"stark";"fuerte";"forte";"forte";"forte";"silna";"strong"
"424";"normal";"normal";"normal";"normale";"normale";"normal";"norma";"normal"
"425";"normal1";"normal";"normal";"normale";"normale";"normal";"normalna";"normal"
"426";"weak";"schwach";"debil";"faible";"debole";"fraca";"słaba";"weak"
"427";"veryWeak";"sehr schwach";"muy debil";"très faible";"molto debole";"muito fraca";"bardzo słaba";"very weak"
"428";"queenQuality";"Qualität";"calidad";"qualité";"qualità";"qualidade";"jakość";"quality"
"429";"queenMark";"Markierung/fehlt";"marcado/ausencia";"marquage/absence";"marcatura/assente";"marcação/ausente";"oznaczanie/brak";"marking/lack"
"430";"queenState";"Begattung";"fecundacion";"fécondation";"fecondazione";"fecundação";"unasiennienie";"insemination"
"431";"queenStart";"Einschränkung";"restriccion";"restriction";"restrizione";"restrição";"ograniczenie";"restriction"
"432";"queenBorn";"Jahrgang";"ano de nacimiento";"année de naissance";"anno";"ano de nascimento";"rocznik";"yearbook"
"433";"colonyState";"Volkszustand";"estado de la colonia";"état de la colonie";"stato della colonia";"estado da colónia";"stan rodziny";"colony status"
"434";"colonyForce";"Volksstärke";"fuerza de la colonia";"force de la colonie";"forza della colonia";"força da colónia";"siła rodziny";"colony force"
"435";"dirty";"schmutzig";"sucio";"sale";"sporco";"sujo";"brudna";"dirty"
"436";"clean";"sauber";"limpio";"propre";"pulito";"limpo";"czysta";"clean"
"437";"off";"ausschalten";"desactivar";"désactiver";"spegni";"desligar";"wyłącz";"off"
"438";"off1";"ausgeschaltet";"desactivado";"désactivé";"spento";"desligado";"wyłączony";"off"
"439";"delete";"wegnehmen";"quitar";"retirer";"togli";"retirar";"zabierz";"delete"
"440";"zalacz";"einschalten";"activar";"activer";"accendi";"ligar";"załącz";"on"
"441";"zalacz1";"eingeschaltet";"activado";"activé";"acceso";"ligado";"załączony";"on"
"442";"aDdHive";"Beute hinzufügen";"Agregar colmena";"Ajouter une ruche";"Aggiungi arnia";"Adicionar colmeia";"Dodaj ul";"Add hive"
"443";"aDdQueen";"Königin registrieren";"Registrar reina";"Enregistrer une reine";"Registra regina";"Registar rainha";"Rejestruj matkę";"Register queen"
"444";"nUmberOfFrameInBody";"Anzahl Rahmen in der Zarge";"Numero de cuadros en el alza";"Nombre de cadres dans la hausse";"Numero di telai nel melario";"Número de quadros na alça";"Ilość ramek w korpusie";"Number of frame in body"
"445";"selectStatYear";"Statistikjahr wählen";"Selecciona el ano para estadisticas";"Sélectionnez l'année pour les statistiques";"Seleziona anno per le statistiche";"Selecione o ano para estatísticas";"Wybierz rok do statystyk";"Select year for statistics"
"446";"zMalychW";"von kleinen in ";"de pequenos en ";"des petits en ";"da piccoli in ";"de pequenos em ";"z małych w ";"from small in "
"447";"zDuzychW";"von großen in ";"de grandes en ";"des grands en ";"da grandi in ";"de grandes em ";"z dużych w ";"from big in "
"448";"wEatherForecast";"Wettervorhersage";"Pronostico del tiempo";"Prévisions météo";"Previsioni meteo";"Previsão meteorológica";"Prognoza pogody";"Weather forecast"
